
"約定履歴"

"商品指定","約定開始年月日","約定終了年月日"
"すべて","2024年07月14日","2026年07月13日"

"国内約定日","銘柄","銘柄コード","市場","商品区分","注文種別","取引","預り区分","約定数量","約定単価","国内受渡日","受渡金額/決済損益"
"2026/06/15","ペプシコ","PEP","NASDAQ","米国株式","成行","現買","NISA","20","142.9800USD","2026/06/17","2,859.60USD"
"2026/06/15","トーム A","TRMD","NASDAQ","米国株式","指値","現買","特定","15","29.5100USD","2026/06/17","444.84USD"
"2026/02/13","トーム A","TRMD","NASDAQ","米国株式","成行","現買","NISA","1","25.3381USD","2026/02/17","25.34USD"
"2026/02/12","ネットフリックス","NFLX","NASDAQ","米国株式","成行","現買","NISA","10","82.6700USD","2026/02/16","826.70USD"
"2026/02/12","トーム A","TRMD","NASDAQ","米国株式","成行","現買","NISA","16","25.9191USD","2026/02/16","414.71USD"
