
保有証券一覧

株式（NISA預り（成長投資枠））合計

評価額合計,評価損益合計
272900,+3700

株式（NISA預り（成長投資枠））

銘柄コード,銘柄名称,保有株数,売却注文中,取得単価,現在値,取得金額,評価額,評価損益
"8593","三菱ＨＣキャピタル",200,,1346,1364.5,269200,272900,+3700 

投資信託（金額/NISA預り（つみたて投資枠））合計

評価額合計,評価損益合計
1689118,+475772

投資信託（金額/NISA預り（つみたて投資枠））

ファンド名,保有口数,売却注文中,取得単価,基準価額,取得金額,評価額,評価損益,分配金受取方法
"ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",411318口,,29499,41066,1213346,1689118,+475772,再投資

投資信託（金額/旧つみたてNISA預り）合計

評価額合計,評価損益合計
1013566,+546891

投資信託（金額/旧つみたてNISA預り）

ファンド名,保有口数,売却注文中,取得単価,基準価額,取得金額,評価額,評価損益,分配金受取方法
"ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",246814口,,18908,41066,466675,1013566,+546891,再投資






